property_name,prop_emb,Gaussian_expansion,epoch,mae
lumo,concatenate,Yes,epoch471,269.675
lumo,sum,No,epoch1856,270.111
lumo,concatenate_multiply,Yes,epoch1556,273.522
lumo,concatenate_sum,Yes,epoch840,275.293
lumo,concatenate,No,epoch735,295.216
mu,sum,No,epoch1883,0.985
mu,sum,No,epoch1804,1.043
mu,multiply,No,epoch1868,1.046
mu,multiply,Yes,epoch1838,1.071
mu,concatenate_multiply,No,epoch1822,1.089
mu,sum,Yes,epoch920,1.118
mu,concatenate_sum,Yes,epoch1717,1.12
mu,concatenate_sum,No,epoch1053,1.122
mu,sum,No,epoch1910,1.134
mu,sum,Yes,epoch1456,1.146
mu,multiply,No,epoch1723,1.147
mu,concatenate_multiply,Yes,epoch1661,1.16
mu,concatenate_multiply,Yes,epoch1476,1.161
mu,concatenate_multiply,No,epoch1489,1.167
mu,concatenate,No,epoch1670,1.169
mu,concatenate_multiply,Yes,epoch920,1.175
mu,concatenate,No,epoch1117,1.175
mu,concatenate_multiply,No,epoch917,1.176
mu,sum,Yes,epoch919,1.184
mu,multiply,Yes,epoch1968,1.185
mu,multiply,Yes,epoch870,1.193
mu,concatenate,Yes,epoch954,1.195
mu,concatenate_sum,No,epoch1573,1.198
mu,concatenate,No,epoch859,1.225
mu,concatenate_sum,Yes,epoch1173,1.23
mu,concatenate_sum,No,epoch795,1.236
mu,concatenate_sum,Yes,epoch983,1.253
mu,concatenate,Yes,epoch783,1.257
mu,concatenate,Yes,epoch1162,1.28
mu,multiply,No,epoch728,1.301
